MQ135 Value,MHMQ7 Value,Timestamp
1397.59,2.28,2024-04-13 23:28:43
1397.59,2.28,2024-04-13 23:28:48
1397.59,2.28,2024-04-13 23:28:53
1397.59,2.28,2024-04-13 23:28:58
1397.59,2.28,2024-04-13 23:29:03
1418.31,2.28,2024-04-13 23:29:08
1397.59,2.28,2024-04-13 23:29:13
1418.31,2.28,2024-04-13 23:29:18
1397.59,2.28,2024-04-13 23:29:23
1418.31,2.28,2024-04-13 23:29:28
1397.59,2.28,2024-04-13 23:29:33
1397.59,2.28,2024-04-13 23:29:38
1397.59,2.28,2024-04-13 23:29:43
1397.59,2.28,2024-04-13 23:29:48
1397.59,2.28,2024-04-13 23:29:53
1418.31,2.23,2024-04-13 23:29:58
1418.31,2.28,2024-04-13 23:30:03
1418.31,2.28,2024-04-13 23:30:08
1418.31,2.28,2024-04-13 23:30:13
1418.31,2.28,2024-04-13 23:30:18
1418.31,2.28,2024-04-13 23:30:23
1418.31,2.28,2024-04-13 23:30:28
1397.59,2.28,2024-04-13 23:30:33
1418.31,2.28,2024-04-13 23:30:38
1418.31,2.28,2024-04-13 23:30:43
1397.59,2.28,2024-04-13 23:30:48
1397.59,2.28,2024-04-13 23:30:53
1397.59,2.28,2024-04-13 23:30:58
1397.59,2.28,2024-04-13 23:31:03
1397.59,2.28,2024-04-13 23:31:08
1397.59,2.28,2024-04-13 23:31:13
1397.59,2.28,2024-04-13 23:31:18
1397.59,2.28,2024-04-13 23:31:23
1397.59,2.28,2024-04-13 23:31:28
1397.59,2.28,2024-04-13 23:31:33
1397.59,2.28,2024-04-13 23:31:38
1377.12,2.23,2024-04-13 23:31:43
1377.12,2.23,2024-04-13 23:31:48
1377.12,2.28,2024-04-13 23:31:53
1377.12,2.23,2024-04-13 23:31:58
1377.12,2.23,2024-04-13 23:32:03
1377.12,2.23,2024-04-13 23:32:08
1377.12,2.23,2024-04-13 23:32:13
1377.12,2.23,2024-04-13 23:32:18
1377.12,2.23,2024-04-13 23:32:23
1377.12,2.23,2024-04-13 23:32:28
1377.12,2.28,2024-04-13 23:32:33
1377.12,2.23,2024-04-13 23:32:38
1377.12,2.23,2024-04-13 23:32:43
1377.12,2.28,2024-04-13 23:32:48
1356.89,2.28,2024-04-13 23:32:53
1377.12,2.28,2024-04-13 23:32:58
1356.89,2.23,2024-04-13 23:33:03
1356.89,2.23,2024-04-13 23:33:08
1356.89,2.28,2024-04-13 23:33:13
1356.89,2.28,2024-04-13 23:33:18
1356.89,2.23,2024-04-13 23:33:23
1356.89,2.23,2024-04-13 23:33:28
1356.89,2.28,2024-04-13 23:33:33
1356.89,2.23,2024-04-13 23:33:38
1356.89,2.23,2024-04-13 23:33:43
1356.89,2.28,2024-04-13 23:33:48
1356.89,2.23,2024-04-13 23:33:53
1356.89,2.28,2024-04-13 23:33:58
1356.89,2.28,2024-04-13 23:34:03
1356.89,2.28,2024-04-13 23:34:08
1356.89,2.28,2024-04-13 23:34:13
1377.12,2.28,2024-04-13 23:34:18
1377.12,2.28,2024-04-13 23:34:23
1377.12,2.28,2024-04-13 23:34:28
1377.12,2.28,2024-04-13 23:34:33
1377.12,2.28,2024-04-13 23:34:38
1377.12,2.28,2024-04-13 23:34:43
1377.12,2.28,2024-04-13 23:34:48
1377.12,2.28,2024-04-13 23:34:53
1377.12,2.28,2024-04-13 23:34:58
1377.12,2.28,2024-04-13 23:35:03
1397.59,2.28,2024-04-13 23:35:08
1397.59,2.28,2024-04-13 23:35:13
1397.59,2.28,2024-04-13 23:35:18
1397.59,2.28,2024-04-13 23:35:23
1397.59,2.32,2024-04-13 23:35:28
1397.59,2.32,2024-04-13 23:35:33
1397.59,2.32,2024-04-13 23:35:38
1418.31,2.32,2024-04-13 23:35:43
1439.29,2.32,2024-04-13 23:35:48
1418.31,2.32,2024-04-13 23:35:53
1418.31,2.32,2024-04-13 23:35:58
1418.31,2.28,2024-04-13 23:36:03
1418.31,2.32,2024-04-13 23:36:08
1418.31,2.32,2024-04-13 23:36:13
1418.31,2.32,2024-04-13 23:36:18
1418.31,2.32,2024-04-13 23:36:23
1418.31,2.32,2024-04-13 23:36:28
1418.31,2.32,2024-04-13 23:36:33
1418.31,2.32,2024-04-13 23:36:38
1418.31,2.32,2024-04-13 23:36:43
1418.31,2.32,2024-04-13 23:36:48
1418.31,2.32,2024-04-13 23:36:53
1418.31,2.32,2024-04-13 23:36:58
1439.29,2.32,2024-04-13 23:37:03
1439.29,2.32,2024-04-13 23:37:08
1460.51,2.36,2024-04-13 23:37:13
1460.51,2.36,2024-04-13 23:37:18
1481.99,2.36,2024-04-13 23:37:23
1460.51,2.36,2024-04-13 23:37:28
1460.51,2.36,2024-04-13 23:37:33
1460.51,2.36,2024-04-13 23:37:38
1460.51,2.36,2024-04-13 23:37:43
1439.29,2.36,2024-04-13 23:37:48
1439.29,2.36,2024-04-13 23:37:53
1439.29,2.36,2024-04-13 23:37:58
1439.29,2.36,2024-04-13 23:38:03
1439.29,2.36,2024-04-13 23:38:08
1439.29,2.36,2024-04-13 23:38:13
1439.29,2.36,2024-04-13 23:38:18
1439.29,2.36,2024-04-13 23:38:23
1439.29,2.36,2024-04-13 23:38:28
1439.29,2.36,2024-04-13 23:38:33
1439.29,2.36,2024-04-13 23:38:38
1439.29,2.36,2024-04-13 23:38:43
1439.29,2.36,2024-04-13 23:38:48
1439.29,2.36,2024-04-13 23:38:53
1439.29,2.36,2024-04-13 23:38:58
1439.29,2.36,2024-04-13 23:39:03
1439.29,2.36,2024-04-13 23:39:08
1439.29,2.36,2024-04-13 23:39:13
1439.29,2.36,2024-04-13 23:39:18
1439.29,2.36,2024-04-13 23:39:23
1439.29,2.36,2024-04-13 23:39:28
1439.29,2.36,2024-04-13 23:39:33
1418.31,2.36,2024-04-13 23:39:38
1418.31,2.36,2024-04-13 23:39:43
1418.31,2.41,2024-04-13 23:39:48
1418.31,2.36,2024-04-13 23:39:53
1418.31,2.36,2024-04-13 23:39:58
1418.31,2.36,2024-04-13 23:40:03
1418.31,2.36,2024-04-13 23:40:08
1418.31,2.36,2024-04-13 23:40:13
1418.31,2.36,2024-04-13 23:40:18
1418.31,2.36,2024-04-13 23:40:23
1418.31,2.36,2024-04-13 23:40:28
1418.31,2.36,2024-04-13 23:40:33
1418.31,2.41,2024-04-13 23:40:38
1418.31,2.36,2024-04-13 23:40:43
1418.31,2.41,2024-04-13 23:40:48
1418.31,2.36,2024-04-13 23:40:54
1418.31,2.41,2024-04-13 23:40:59
1418.31,2.41,2024-04-13 23:41:04
1418.31,2.41,2024-04-13 23:41:09
1418.31,2.41,2024-04-13 23:41:14
1418.31,2.41,2024-04-13 23:41:19
1418.31,2.41,2024-04-13 23:41:24
1397.59,2.41,2024-04-13 23:41:29
1397.59,2.41,2024-04-13 23:41:34
1397.59,2.41,2024-04-13 23:41:39
1397.59,2.41,2024-04-13 23:41:44
1418.31,2.41,2024-04-13 23:41:49
1397.59,2.41,2024-04-13 23:41:54
1418.31,2.41,2024-04-13 23:41:59
1397.59,2.41,2024-04-13 23:42:04
1397.59,2.41,2024-04-13 23:42:09
1397.59,2.41,2024-04-13 23:42:14
1397.59,2.36,2024-04-13 23:42:19
1397.59,2.41,2024-04-13 23:42:24
1397.59,2.36,2024-04-13 23:42:29
1397.59,2.41,2024-04-13 23:42:34
1397.59,2.41,2024-04-13 23:42:39
1397.59,2.41,2024-04-13 23:42:44
1397.59,2.41,2024-04-13 23:42:49
1397.59,2.41,2024-04-13 23:42:54
1397.59,2.41,2024-04-13 23:42:59
1397.59,2.41,2024-04-13 23:43:04
1397.59,2.41,2024-04-13 23:43:09
1397.59,2.41,2024-04-13 23:43:14
1377.12,2.41,2024-04-13 23:43:19
1377.12,2.41,2024-04-13 23:43:24
1377.12,2.41,2024-04-13 23:43:29
1397.59,2.41,2024-04-13 23:43:34
1397.59,2.41,2024-04-13 23:43:39
1397.59,2.41,2024-04-13 23:43:44
1397.59,2.41,2024-04-13 23:43:49
1377.12,2.41,2024-04-13 23:43:54
1377.12,2.41,2024-04-13 23:43:59
1377.12,2.41,2024-04-13 23:44:04
1377.12,2.41,2024-04-13 23:44:09
1377.12,2.41,2024-04-13 23:44:14
1377.12,2.41,2024-04-13 23:44:19
1377.12,2.41,2024-04-13 23:44:24
1377.12,2.41,2024-04-13 23:44:29
1377.12,2.41,2024-04-13 23:44:34
1356.89,2.41,2024-04-13 23:44:39
1356.89,2.41,2024-04-13 23:44:44
1377.12,2.41,2024-04-13 23:44:49
1397.59,2.41,2024-04-13 23:44:54
1397.59,2.41,2024-04-13 23:44:59
1397.59,2.45,2024-04-13 23:45:04
1397.59,2.45,2024-04-13 23:45:09
1418.31,2.45,2024-04-13 23:45:14
1418.31,2.45,2024-04-13 23:45:19
1418.31,2.45,2024-04-13 23:45:24
1397.59,2.45,2024-04-13 23:45:29
1397.59,2.45,2024-04-13 23:45:34
1397.59,2.45,2024-04-13 23:45:39
1397.59,2.45,2024-04-13 23:45:44
1397.59,2.45,2024-04-13 23:45:49
1418.31,2.45,2024-04-13 23:45:54
1418.31,2.45,2024-04-13 23:45:59
1439.29,2.45,2024-04-13 23:46:04
1439.29,2.45,2024-04-13 23:46:09
1439.29,2.45,2024-04-13 23:46:14
1439.29,2.45,2024-04-13 23:46:19
1439.29,2.45,2024-04-13 23:46:24
1439.29,2.45,2024-04-13 23:46:29
1439.29,2.45,2024-04-13 23:46:34
1439.29,2.45,2024-04-13 23:46:39
1460.51,2.45,2024-04-13 23:46:44
1439.29,2.45,2024-04-13 23:46:49
1460.51,2.45,2024-04-13 23:46:54
1460.51,2.61,2024-04-13 23:46:59
1439.29,2.45,2024-04-13 23:47:04
1418.31,2.45,2024-04-13 23:47:09
1418.31,2.45,2024-04-13 23:47:14
1418.31,2.45,2024-04-13 23:47:19
1397.59,2.45,2024-04-13 23:47:24
1418.31,2.45,2024-04-13 23:47:29
1418.31,2.45,2024-04-13 23:47:34
1418.31,2.45,2024-04-13 23:47:39
1418.31,2.45,2024-04-13 23:47:44
1418.31,2.45,2024-04-13 23:47:49
1418.31,2.45,2024-04-13 23:47:54
1418.31,2.45,2024-04-13 23:47:59
1418.31,2.41,2024-04-13 23:48:04
1397.59,2.45,2024-04-13 23:48:09
1397.59,2.45,2024-04-13 23:48:14
1397.59,2.41,2024-04-13 23:48:19
1397.59,2.45,2024-04-13 23:48:24
1418.31,2.45,2024-04-13 23:48:29
1397.59,2.41,2024-04-13 23:48:34
1397.59,2.45,2024-04-13 23:48:39
1397.59,2.45,2024-04-13 23:48:44
1397.59,2.45,2024-04-13 23:48:49
1397.59,2.45,2024-04-13 23:48:54
1397.59,2.41,2024-04-13 23:48:59
1397.59,2.45,2024-04-13 23:49:04
1397.59,2.45,2024-04-13 23:49:09
1397.59,2.45,2024-04-13 23:49:14
1397.59,2.41,2024-04-13 23:49:19
1377.12,2.41,2024-04-13 23:49:24
